Enzyme 	KO 	D 	C 	B 	A 	
K07A3.1 fbp-1; Fructose-1,6-BiPhosphatase family member (fbp-1)	K03841 fructose-1,6-bisphosphatase I [EC:3.1.3.11] 	3.1.3.11  fructose-bisphosphatase 	3.1.3  Phosphoric-monoester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
C05A2.1 pph-1; Protein PHosphatase family member (pph-1)	K01090 protein phosphatase [EC:3.1.3.16] 	3.1.3.16  phosphoprotein phosphatase 	3.1.3  Phosphoric-monoester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
C06A1.3 hypothetical protein	K01090 protein phosphatase [EC:3.1.3.16] 	3.1.3.16  phosphoprotein phosphatase 	3.1.3  Phosphoric-monoester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
C09H5.7 hypothetical protein	K01090 protein phosphatase [EC:3.1.3.16] 	3.1.3.16  phosphoprotein phosphatase 	3.1.3  Phosphoric-monoester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
C27B7.6 hypothetical protein	K01090 protein phosphatase [EC:3.1.3.16] 	3.1.3.16  phosphoprotein phosphatase 	3.1.3  Phosphoric-monoester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
C34C12.3 pph-6; Protein PHosphatase family member (pph-6)	K01090 protein phosphatase [EC:3.1.3.16] 	3.1.3.16  phosphoprotein phosphatase 	3.1.3  Phosphoric-monoester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
C34D4.2 hypothetical protein	K01090 protein phosphatase [EC:3.1.3.16] 	3.1.3.16  phosphoprotein phosphatase 	3.1.3  Phosphoric-monoester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
ZK938.1 hypothetical protein	K01090 protein phosphatase [EC:3.1.3.16] 	3.1.3.16  phosphoprotein phosphatase 	3.1.3  Phosphoric-monoester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
T03F1.5 gsp-4; yeast Glc Seven-like Phosphatases family member (gsp-4)	K01090 protein phosphatase [EC:3.1.3.16] 	3.1.3.16  phosphoprotein phosphatase 	3.1.3  Phosphoric-monoester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
T16G12.7 hypothetical protein	K01090 protein phosphatase [EC:3.1.3.16] 	3.1.3.16  phosphoprotein phosphatase 	3.1.3  Phosphoric-monoester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
T19C3.8 fem-2; FEMinization of XX and XO animals family member (fem-2)	K01090 protein phosphatase [EC:3.1.3.16] 	3.1.3.16  phosphoprotein phosphatase 	3.1.3  Phosphoric-monoester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
T25B9.2 hypothetical protein	K01090 protein phosphatase [EC:3.1.3.16] 	3.1.3.16  phosphoprotein phosphatase 	3.1.3  Phosphoric-monoester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
W03D8.2 hypothetical protein	K01090 protein phosphatase [EC:3.1.3.16] 	3.1.3.16  phosphoprotein phosphatase 	3.1.3  Phosphoric-monoester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
W09C3.6 gsp-3; yeast Glc Seven-like Phosphatases family member (gsp-3)	K01090 protein phosphatase [EC:3.1.3.16] 	3.1.3.16  phosphoprotein phosphatase 	3.1.3  Phosphoric-monoester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
ZK354.9 hypothetical protein	K01090 protein phosphatase [EC:3.1.3.16] 	3.1.3.16  phosphoprotein phosphatase 	3.1.3  Phosphoric-monoester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
F22D6.9 hypothetical protein	K01090 protein phosphatase [EC:3.1.3.16] 	3.1.3.16  phosphoprotein phosphatase 	3.1.3  Phosphoric-monoester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
F23B12.1 hypothetical protein	K01090 protein phosphatase [EC:3.1.3.16] 	3.1.3.16  phosphoprotein phosphatase 	3.1.3  Phosphoric-monoester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
F25B3.4 hypothetical protein	K01090 protein phosphatase [EC:3.1.3.16] 	3.1.3.16  phosphoprotein phosphatase 	3.1.3  Phosphoric-monoester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
F52H3.6 hypothetical protein	K01090 protein phosphatase [EC:3.1.3.16] 	3.1.3.16  phosphoprotein phosphatase 	3.1.3  Phosphoric-monoester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
F58G1.3 hypothetical protein	K01090 protein phosphatase [EC:3.1.3.16] 	3.1.3.16  phosphoprotein phosphatase 	3.1.3  Phosphoric-monoester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
C47A4.3 hypothetical protein	K01090 protein phosphatase [EC:3.1.3.16] 	3.1.3.16  phosphoprotein phosphatase 	3.1.3  Phosphoric-monoester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
R08A2.2 hypothetical protein	K01090 protein phosphatase [EC:3.1.3.16] 	3.1.3.16  phosphoprotein phosphatase 	3.1.3  Phosphoric-monoester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
Y69E1A.4 hypothetical protein	K01090 protein phosphatase [EC:3.1.3.16] 	3.1.3.16  phosphoprotein phosphatase 	3.1.3  Phosphoric-monoester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
C24H11.2 hypothetical protein	K01090 protein phosphatase [EC:3.1.3.16] 	3.1.3.16  phosphoprotein phosphatase 	3.1.3  Phosphoric-monoester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
C24H11.1 hypothetical protein	K01090 protein phosphatase [EC:3.1.3.16] 	3.1.3.16  phosphoprotein phosphatase 	3.1.3  Phosphoric-monoester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
R08C7.8 hypothetical protein	K01090 protein phosphatase [EC:3.1.3.16] 	3.1.3.16  phosphoprotein phosphatase 	3.1.3  Phosphoric-monoester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
R03D7.8 hypothetical protein	K01090 protein phosphatase [EC:3.1.3.16] 	3.1.3.16  phosphoprotein phosphatase 	3.1.3  Phosphoric-monoester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
R13A5.11 hypothetical protein	K01090 protein phosphatase [EC:3.1.3.16] 	3.1.3.16  phosphoprotein phosphatase 	3.1.3  Phosphoric-monoester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
F20D6.6 hypothetical protein	K01090 protein phosphatase [EC:3.1.3.16] 	3.1.3.16  phosphoprotein phosphatase 	3.1.3  Phosphoric-monoester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
Y40H4A.2 hypothetical protein	K01090 protein phosphatase [EC:3.1.3.16] 	3.1.3.16  phosphoprotein phosphatase 	3.1.3  Phosphoric-monoester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
F40E3.5 hypothetical protein	K01090 protein phosphatase [EC:3.1.3.16] 	3.1.3.16  phosphoprotein phosphatase 	3.1.3  Phosphoric-monoester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
ZC477.2 hypothetical protein	K01090 protein phosphatase [EC:3.1.3.16] 	3.1.3.16  phosphoprotein phosphatase 	3.1.3  Phosphoric-monoester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
F42G8.8 hypothetical protein	K01090 protein phosphatase [EC:3.1.3.16] 	3.1.3.16  phosphoprotein phosphatase 	3.1.3  Phosphoric-monoester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
F49E11.7 hypothetical protein	K01090 protein phosphatase [EC:3.1.3.16] 	3.1.3.16  phosphoprotein phosphatase 	3.1.3  Phosphoric-monoester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
C23G10.1 hypothetical protein	K01090 protein phosphatase [EC:3.1.3.16] 	3.1.3.16  phosphoprotein phosphatase 	3.1.3  Phosphoric-monoester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
F26B1.5 hypothetical protein	K01090 protein phosphatase [EC:3.1.3.16] 	3.1.3.16  phosphoprotein phosphatase 	3.1.3  Phosphoric-monoester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
F42G9.1 hypothetical protein	K01090 protein phosphatase [EC:3.1.3.16] 	3.1.3.16  phosphoprotein phosphatase 	3.1.3  Phosphoric-monoester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
F23H11.8 pef-1; Phosphatase with EF hands family member (pef-1)	K01090 protein phosphatase [EC:3.1.3.16] 	3.1.3.16  phosphoprotein phosphatase 	3.1.3  Phosphoric-monoester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
C02F4.2 tax-6; abnormal CHEmotaxis family member (tax-6)	K04348 protein phosphatase 3, catalytic subunit [EC:3.1.3.16] 	3.1.3.16  phosphoprotein phosphatase 	3.1.3  Phosphoric-monoester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
F38H4.9 let-92; LEThal family member (let-92)	K04382 protein phosphatase 2 (formerly 2A), catalytic subunit [EC:3.1.3.16] 	3.1.3.16  phosphoprotein phosphatase 	3.1.3  Phosphoric-monoester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
C04F12.8 hypothetical protein	K04459 dual specificity phosphatase [EC:3.1.3.16 3.1.3.48] 	3.1.3.16  phosphoprotein phosphatase 	3.1.3  Phosphoric-monoester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
F08B1.1 vhp-1; VH1 dual-specificity phosphatase family member (vhp-1)	K04459 dual specificity phosphatase [EC:3.1.3.16 3.1.3.48] 	3.1.3.16  phosphoprotein phosphatase 	3.1.3  Phosphoric-monoester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
Y39B6A.2 pph-5; Protein PHosphatase family member (pph-5)	K04460 protein phosphatase 5 [EC:3.1.3.16] 	3.1.3.16  phosphoprotein phosphatase 	3.1.3  Phosphoric-monoester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
F25D1.1 tag-93; Temporarily Assigned Gene name family member (tag-93)	K04461 protein phosphatase 1B (formerly 2C) [EC:3.1.3.16] 	3.1.3.16  phosphoprotein phosphatase 	3.1.3  Phosphoric-monoester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
F29F11.6 gsp-1; yeast Glc Seven-like Phosphatases family member (gsp-1)	K06269 protein phosphatase 1, catalytic subunit [EC:3.1.3.16] 	3.1.3.16  phosphoprotein phosphatase 	3.1.3  Phosphoric-monoester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
F56C9.1 gsp-2; yeast Glc Seven-like Phosphatases family member (gsp-2)	K06269 protein phosphatase 1, catalytic subunit [EC:3.1.3.16] 	3.1.3.16  phosphoprotein phosphatase 	3.1.3  Phosphoric-monoester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
Y54F10BM.13 hypothetical protein	K14165 dual specificity phosphatase [EC:3.1.3.16 3.1.3.48] 	3.1.3.16  phosphoprotein phosphatase 	3.1.3  Phosphoric-monoester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
T23G7.5 pir-1; Phosphatase Interacting with RNA/RNP family member (pir-1)	K14165 dual specificity phosphatase [EC:3.1.3.16 3.1.3.48] 	3.1.3.16  phosphoprotein phosphatase 	3.1.3  Phosphoric-monoester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
T23F11.1 hypothetical protein	K14803 protein phosphatase 2C homolog 2/3 [EC:3.1.3.16] 	3.1.3.16  phosphoprotein phosphatase 	3.1.3  Phosphoric-monoester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
C24F3.2 hypothetical protein	K14819 dual specificity phosphatase 12 [EC:3.1.3.16 3.1.3.48] 	3.1.3.16  phosphoprotein phosphatase 	3.1.3  Phosphoric-monoester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
Y75B8A.30 pph-4.1; Protein PHosphatase family member (pph-4.1)	K15423 serine/threonine-protein phosphatase 4 catalytic subunit [EC:3.1.3.16] 	3.1.3.16  phosphoprotein phosphatase 	3.1.3  Phosphoric-monoester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
T13C2.4 hypothetical protein	K15544 RNA polymerase II subunit A C-terminal domain phosphatase SSU72 [EC:3.1.3.16] 	3.1.3.16  phosphoprotein phosphatase 	3.1.3  Phosphoric-monoester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
R07G3.5 hypothetical protein	K15637 serine/threonine-protein phosphatase PGAM5 [EC:3.1.3.16] 	3.1.3.16  phosphoprotein phosphatase 	3.1.3  Phosphoric-monoester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
B0379.4 scpl-1; SCP(Small C-terminal domain Phosphatase)-Like phosphatase family member (scpl-1)	K15731 carboxy-terminal domain RNA polymerase II polypeptide A small phosphatase [EC:3.1.3.16] 	3.1.3.16  phosphoprotein phosphatase 	3.1.3  Phosphoric-monoester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
F36F2.6 fcp-1; FCP1 (yeast TFIIF-interacting CTD phosphatase subunit) homolog family member (fcp-1)	K15732 RNA polymerase II subunit A C-terminal domain phosphatase [EC:3.1.3.16] 	3.1.3.16  phosphoprotein phosphatase 	3.1.3  Phosphoric-monoester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
F13G3.5 ttx-7; abnormal ThermoTaXis family member (ttx-7)	K01092 myo-inositol-1(or 4)-monophosphatase [EC:3.1.3.25] 	3.1.3.25  inositol-phosphate phosphatase 	3.1.3  Phosphoric-monoester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
Y6B3B.5 hypothetical protein	K15759 inositol monophosphatase 3 [EC:3.1.3.25 3.1.3.7] 	3.1.3.25  inositol-phosphate phosphatase 	3.1.3  Phosphoric-monoester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
F21D5.5 hypothetical protein	K08073 bifunctional polynucleotide phosphatase/kinase [EC:3.1.3.32 2.7.1.78] 	3.1.3.32  polynucleotide 3'-phosphatase 	3.1.3  Phosphoric-monoester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
C03D6.3 cel-1; mRNA Capping Enzyme Like family member (cel-1)	K13917 mRNA-capping enzyme [EC:2.7.7.50 3.1.3.33] 	3.1.3.33  polynucleotide 5'-phosphatase 	3.1.3  Phosphoric-monoester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
JC8.10 unc-26; UNCoordinated family member (unc-26)	K01099 phosphatidylinositol-bisphosphatase [EC:3.1.3.36] 	3.1.3.36  phosphoinositide 5-phosphatase 	3.1.3  Phosphoric-monoester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
C53A3.2 hypothetical protein	K01101 4-nitrophenyl phosphatase [EC:3.1.3.41] 	3.1.3.41  4-nitrophenylphosphatase 	3.1.3  Phosphoric-monoester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
F44E7.2 hypothetical protein	K01101 4-nitrophenyl phosphatase [EC:3.1.3.41] 	3.1.3.41  4-nitrophenylphosphatase 	3.1.3  Phosphoric-monoester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
K09H11.7 hypothetical protein	K01101 4-nitrophenyl phosphatase [EC:3.1.3.41] 	3.1.3.41  4-nitrophenylphosphatase 	3.1.3  Phosphoric-monoester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
Y110A7A.6 hypothetical protein	K01103 6-phosphofructo-2-kinase / fructose-2,6-bisphosphatase [EC:2.7.1.105 3.1.3.46] 	3.1.3.46  fructose-2,6-bisphosphate 2-phosphatase 	3.1.3  Phosphoric-monoester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
K02B2.1 hypothetical protein	K01103 6-phosphofructo-2-kinase / fructose-2,6-bisphosphatase [EC:2.7.1.105 3.1.3.46] 	3.1.3.46  fructose-2,6-bisphosphate 2-phosphatase 	3.1.3  Phosphoric-monoester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
F54C8.4 hypothetical protein	K01104 protein-tyrosine phosphatase [EC:3.1.3.48] 	3.1.3.48  protein-tyrosine-phosphatase 	3.1.3  Phosphoric-monoester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
F44G4.8 dep-1; hypothetical protein	K01104 protein-tyrosine phosphatase [EC:3.1.3.48] 	3.1.3.48  protein-tyrosine-phosphatase 	3.1.3  Phosphoric-monoester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
F47B3.7 hypothetical protein	K01104 protein-tyrosine phosphatase [EC:3.1.3.48] 	3.1.3.48  protein-tyrosine-phosphatase 	3.1.3  Phosphoric-monoester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
T19D2.2 prl-1; hypothetical protein	K01104 protein-tyrosine phosphatase [EC:3.1.3.48] 	3.1.3.48  protein-tyrosine-phosphatase 	3.1.3  Phosphoric-monoester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
C48D5.2 ptp-1; Protein Tyrosine Phosphatase family member (ptp-1)	K01104 protein-tyrosine phosphatase [EC:3.1.3.48] 	3.1.3.48  protein-tyrosine-phosphatase 	3.1.3  Phosphoric-monoester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
C04F12.8 hypothetical protein	K04459 dual specificity phosphatase [EC:3.1.3.16 3.1.3.48] 	3.1.3.48  protein-tyrosine-phosphatase 	3.1.3  Phosphoric-monoester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
F08B1.1 vhp-1; VH1 dual-specificity phosphatase family member (vhp-1)	K04459 dual specificity phosphatase [EC:3.1.3.16 3.1.3.48] 	3.1.3.48  protein-tyrosine-phosphatase 	3.1.3  Phosphoric-monoester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
C17G10.4 cdc-14; Cell Division Cycle related family member (cdc-14)	K06639 cell division cycle 14 [EC:3.1.3.48] 	3.1.3.48  protein-tyrosine-phosphatase 	3.1.3  Phosphoric-monoester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
F59G1.5 ptp-2; Protein Tyrosine Phosphatase family member (ptp-2)	K07293 protein tyrosine phosphatase, non-receptor type 11 [EC:3.1.3.48] 	3.1.3.48  protein-tyrosine-phosphatase 	3.1.3  Phosphoric-monoester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
Y54F10BM.13 hypothetical protein	K14165 dual specificity phosphatase [EC:3.1.3.16 3.1.3.48] 	3.1.3.48  protein-tyrosine-phosphatase 	3.1.3  Phosphoric-monoester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
T23G7.5 pir-1; Phosphatase Interacting with RNA/RNP family member (pir-1)	K14165 dual specificity phosphatase [EC:3.1.3.16 3.1.3.48] 	3.1.3.48  protein-tyrosine-phosphatase 	3.1.3  Phosphoric-monoester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
C24F3.2 hypothetical protein	K14819 dual specificity phosphatase 12 [EC:3.1.3.16 3.1.3.48] 	3.1.3.48  protein-tyrosine-phosphatase 	3.1.3  Phosphoric-monoester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
C09B8.1 ipp-5; Inositol Polyphosphate 5-Phosphatase family member (ipp-5)	K01106 inositol-1,4,5-trisphosphate 5-phosphatase [EC:3.1.3.56] 	3.1.3.56  inositol-polyphosphate 5-phosphatase 	3.1.3  Phosphoric-monoester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
F58H1.3 hypothetical protein	K09880 enolase-phosphatase E1 [EC:3.1.3.77] 	3.1.3.77  acireductone synthase 	3.1.3  Phosphoric-monoester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
Y71H2AM.2 hypothetical protein	K13084 phosphatidylinositol-4,5-bisphosphate 4-phosphatase [EC:3.1.3.78] 	3.1.3.78  phosphatidylinositol-4,5-bisphosphate 4-phosphatase 	3.1.3  Phosphoric-monoester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
F55B12.4 hypothetical protein	K00974 tRNA nucleotidyltransferase (CCA-adding enzyme) [EC:2.7.7.72 3.1.3.- 3.1.4.-] 	3.1.3.- 	3.1.3  Phosphoric-monoester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
F53A2.8 mtm-6; MTM (myotubularin) family member (mtm-6)	K01112 [EC:3.1.3.-] 	3.1.3.- 	3.1.3  Phosphoric-monoester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
C13C4.4 hypothetical protein	K11725 phospholysine phosphohistidine inorganic pyrophosphate phosphatase [EC:3.6.1.1 3.1.3.-] 	3.1.3.- 	3.1.3  Phosphoric-monoester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
C04G6.3 pld-1; PhosphoLipase D family member (pld-1)	K01115 phospholipase D [EC:3.1.4.4] 	3.1.4.4  phospholipase D 	3.1.4  Phosphoric-diester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
T01E8.3 plc-3; PhosphoLipase C family member (plc-3)	K01116 phosphatidylinositol phospholipase C, gamma-1 [EC:3.1.4.11] 	3.1.4.11  phosphoinositide phospholipase C 	3.1.4  Phosphoric-diester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
R05G6.8 plc-4; PhosphoLipase C family member (plc-4)	K05857 phosphatidylinositol phospholipase C, delta [EC:3.1.4.11] 	3.1.4.11  phosphoinositide phospholipase C 	3.1.4  Phosphoric-diester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
B0348.4 egl-8; EGg Laying defective family member (egl-8)	K05858 phosphatidylinositol phospholipase C, beta [EC:3.1.4.11] 	3.1.4.11  phosphoinositide phospholipase C 	3.1.4  Phosphoric-diester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
F31B12.1 plc-1; PhosphoLipase C family member (plc-1)	K05860 phosphatidylinositol phospholipase C, epsilon [EC:3.1.4.11] 	3.1.4.11  phosphoinositide phospholipase C 	3.1.4  Phosphoric-diester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
ZK455.4 asm-2; Acid SphingoMyelinase family member (asm-2)	K12350 sphingomyelin phosphodiesterase [EC:3.1.4.12] 	3.1.4.12  sphingomyelin phosphodiesterase 	3.1.4  Phosphoric-diester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
B0252.2 asm-1; Acid SphingoMyelinase family member (asm-1)	K12350 sphingomyelin phosphodiesterase [EC:3.1.4.12] 	3.1.4.12  sphingomyelin phosphodiesterase 	3.1.4  Phosphoric-diester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
W03G1.7 asm-3; Acid SphingoMyelinase family member (asm-3)	K12350 sphingomyelin phosphodiesterase [EC:3.1.4.12] 	3.1.4.12  sphingomyelin phosphodiesterase 	3.1.4  Phosphoric-diester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
T27F6.6 hypothetical protein	K12351 sphingomyelin phosphodiesterase 2 [EC:3.1.4.12] 	3.1.4.12  sphingomyelin phosphodiesterase 	3.1.4  Phosphoric-diester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
R05D11.9 hypothetical protein	K12353 sphingomyelin phosphodiesterase 4 [EC:3.1.4.12] 	3.1.4.12  sphingomyelin phosphodiesterase 	3.1.4  Phosphoric-diester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
C32E12.2 pde-5; PhosphoDiEsterase family member (pde-5)	K01120 3',5'-cyclic-nucleotide phosphodiesterase [EC:3.1.4.17] 	3.1.4.17  3',5'-cyclic-nucleotide phosphodiesterase 	3.1.4  Phosphoric-diester hydrolases 	3.1  Acting on ester bonds 	<b>3. Hydrolases</b> 	
