GENES 	KO 	C 	B 	A 	
Y38F2AR.9 hypothetical protein	K09481 protein transport protein SEC61 subunit beta 	03060 Protein export [PATH:cel03060] 	<b>Folding, Sorting and Degradation</b> 	<b>Genetic Information Processing</b> 	
F32D8.6 emo-1; EndoMitotic Oocytes family member (emo-1)	K07342 protein transport protein SEC61 subunit gamma and related proteins 	03060 Protein export [PATH:cel03060] 	<b>Folding, Sorting and Degradation</b> 	<b>Genetic Information Processing</b> 	
C18E9.2 hypothetical protein	K12275 translocation protein SEC62 	03060 Protein export [PATH:cel03060] 	<b>Folding, Sorting and Degradation</b> 	<b>Genetic Information Processing</b> 	
Y63D3A.6 dnj-29; DNaJ domain (prokaryotic heat shock protein) family member (dnj-29)	K09540 translocation protein SEC63 	03060 Protein export [PATH:cel03060] 	<b>Folding, Sorting and Degradation</b> 	<b>Genetic Information Processing</b> 	
C15H9.6 hsp-3; Heat Shock Protein family member (hsp-3)	K09490 heat shock 70kDa protein 5 	03060 Protein export [PATH:cel03060] 	<b>Folding, Sorting and Degradation</b> 	<b>Genetic Information Processing</b> 	
ZK512.4 hypothetical protein	K03109 signal recognition particle subunit SRP9 	03060 Protein export [PATH:cel03060] 	<b>Folding, Sorting and Degradation</b> 	<b>Genetic Information Processing</b> 	
F25G6.8 hypothetical protein	K03104 signal recognition particle subunit SRP14 	03060 Protein export [PATH:cel03060] 	<b>Folding, Sorting and Degradation</b> 	<b>Genetic Information Processing</b> 	
F08D12.1 hypothetical protein	K03108 signal recognition particle subunit SRP72 	03060 Protein export [PATH:cel03060] 	<b>Folding, Sorting and Degradation</b> 	<b>Genetic Information Processing</b> 	
F55C5.8 hypothetical protein	K03107 signal recognition particle subunit SRP68 	03060 Protein export [PATH:cel03060] 	<b>Folding, Sorting and Degradation</b> 	<b>Genetic Information Processing</b> 	
F37F2.2 hypothetical protein	K03105 signal recognition particle subunit SRP19 	03060 Protein export [PATH:cel03060] 	<b>Folding, Sorting and Degradation</b> 	<b>Genetic Information Processing</b> 	
F38A1.8 hypothetical protein	K13431 signal recognition particle receptor subunit alpha 	03060 Protein export [PATH:cel03060] 	<b>Folding, Sorting and Degradation</b> 	<b>Genetic Information Processing</b> 	
R186.3 hypothetical protein	K12272 signal recognition particle receptor subunit beta 	03060 Protein export [PATH:cel03060] 	<b>Folding, Sorting and Degradation</b> 	<b>Genetic Information Processing</b> 	
C34B2.10 hypothetical protein	K12946 signal peptidase complex subunit 1 [EC:3.4.-.-] 	03060 Protein export [PATH:cel03060] 	<b>Folding, Sorting and Degradation</b> 	<b>Genetic Information Processing</b> 	
Y37D8A.10 hypothetical protein	K12947 signal peptidase complex subunit 2 [EC:3.4.-.-] 	03060 Protein export [PATH:cel03060] 	<b>Folding, Sorting and Degradation</b> 	<b>Genetic Information Processing</b> 	
K12H4.4 hypothetical protein	K12948 signal peptidase complex subunit 3 [EC:3.4.-.-] 	03060 Protein export [PATH:cel03060] 	<b>Folding, Sorting and Degradation</b> 	<b>Genetic Information Processing</b> 	
Y54E10BR.5 hypothetical protein	K13280 signal peptidase, endoplasmic reticulum-type [EC:3.4.-.-] 	03060 Protein export [PATH:cel03060] 	<b>Folding, Sorting and Degradation</b> 	<b>Genetic Information Processing</b> 	
C24H11.6 immp-1; Inner Mitochondrial Membrane Protease family member (immp-1)	K09647 mitochondrial inner membrane protease subunit 1 [EC:3.4.21.-] 	03060 Protein export [PATH:cel03060] 	<b>Folding, Sorting and Degradation</b> 	<b>Genetic Information Processing</b> 	
Y55F3AM.8 immp-2; Inner Mitochondrial Membrane Protease family member (immp-2)	K09648 mitochondrial inner membrane protease subunit 2 [EC:3.4.21.-] 	03060 Protein export [PATH:cel03060] 	<b>Folding, Sorting and Degradation</b> 	<b>Genetic Information Processing</b> 	
Y57G11C.15 hypothetical protein	K10956 protein transport protein SEC61 subunit alpha 	04141 Protein processing in endoplasmic reticulum [PATH:cel04141] 	<b>Folding, Sorting and Degradation</b> 	<b>Genetic Information Processing</b> 	
Y38F2AR.9 hypothetical protein	K09481 protein transport protein SEC61 subunit beta 	04141 Protein processing in endoplasmic reticulum [PATH:cel04141] 	<b>Folding, Sorting and Degradation</b> 	<b>Genetic Information Processing</b> 	
F32D8.6 emo-1; EndoMitotic Oocytes family member (emo-1)	K07342 protein transport protein SEC61 subunit gamma and related proteins 	04141 Protein processing in endoplasmic reticulum [PATH:cel04141] 	<b>Folding, Sorting and Degradation</b> 	<b>Genetic Information Processing</b> 	
C18E9.2 hypothetical protein	K12275 translocation protein SEC62 	04141 Protein processing in endoplasmic reticulum [PATH:cel04141] 	<b>Folding, Sorting and Degradation</b> 	<b>Genetic Information Processing</b> 	
Y63D3A.6 dnj-29; DNaJ domain (prokaryotic heat shock protein) family member (dnj-29)	K09540 translocation protein SEC63 	04141 Protein processing in endoplasmic reticulum [PATH:cel04141] 	<b>Folding, Sorting and Degradation</b> 	<b>Genetic Information Processing</b> 	
T22D1.4 hypothetical protein	K12666 oligosaccharyltransferase complex subunit alpha (ribophorin I) 	04141 Protein processing in endoplasmic reticulum [PATH:cel04141] 	<b>Folding, Sorting and Degradation</b> 	<b>Genetic Information Processing</b> 	
F57B10.10 dad-1; DAD (Defender against Apoptotic Death) homolog family member (dad-1)	K12668 oligosaccharyltransferase complex subunit epsilon 	04141 Protein processing in endoplasmic reticulum [PATH:cel04141] 	<b>Folding, Sorting and Degradation</b> 	<b>Genetic Information Processing</b> 	
ZK686.3 hypothetical protein	K12669 oligosaccharyltransferase complex subunit gamma 	04141 Protein processing in endoplasmic reticulum [PATH:cel04141] 	<b>Folding, Sorting and Degradation</b> 	<b>Genetic Information Processing</b> 	
T09A5.11 hypothetical protein	K12670 oligosaccharyltransferase complex subunit beta 	04141 Protein processing in endoplasmic reticulum [PATH:cel04141] 	<b>Folding, Sorting and Degradation</b> 	<b>Genetic Information Processing</b> 	
T12A2.2 hypothetical protein	K07151 dolichyl-diphosphooligosaccharide--protein glycosyltransferase [EC:2.4.1.119] 	04141 Protein processing in endoplasmic reticulum [PATH:cel04141] 	<b>Folding, Sorting and Degradation</b> 	<b>Genetic Information Processing</b> 	
F13H10.4 hypothetical protein	K01228 mannosyl-oligosaccharide glucosidase [EC:3.2.1.106] 	04141 Protein processing in endoplasmic reticulum [PATH:cel04141] 	<b>Folding, Sorting and Degradation</b> 	<b>Genetic Information Processing</b> 	
T24H7.2 hypothetical protein	K09486 hypoxia up-regulated 1 	04141 Protein processing in endoplasmic reticulum [PATH:cel04141] 	<b>Folding, Sorting and Degradation</b> 	<b>Genetic Information Processing</b> 	
T14G8.3 hypothetical protein	K09486 hypoxia up-regulated 1 	04141 Protein processing in endoplasmic reticulum [PATH:cel04141] 	<b>Folding, Sorting and Degradation</b> 	<b>Genetic Information Processing</b> 	
C15H9.6 hsp-3; Heat Shock Protein family member (hsp-3)	K09490 heat shock 70kDa protein 5 	04141 Protein processing in endoplasmic reticulum [PATH:cel04141] 	<b>Folding, Sorting and Degradation</b> 	<b>Genetic Information Processing</b> 	
T15H9.7 dnj-20; DNaJ domain (prokaryotic heat shock protein) family member (dnj-20)	K09517 DnaJ homolog subfamily B member 11 	04141 Protein processing in endoplasmic reticulum [PATH:cel04141] 	<b>Folding, Sorting and Degradation</b> 	<b>Genetic Information Processing</b> 	
F54F2.9 hypothetical protein	K09521 DnaJ homolog subfamily C member 1 	04141 Protein processing in endoplasmic reticulum [PATH:cel04141] 	<b>Folding, Sorting and Degradation</b> 	<b>Genetic Information Processing</b> 	
C55B6.2 dnj-7; DNaJ domain (prokaryotic heat shock protein) family member (dnj-7)	K09523 DnaJ homolog subfamily C member 3 	04141 Protein processing in endoplasmic reticulum [PATH:cel04141] 	<b>Folding, Sorting and Degradation</b> 	<b>Genetic Information Processing</b> 	
Y47H9C.5 dnj-27; DNaJ domain (prokaryotic heat shock protein) family member (dnj-27)	K09530 DnaJ homolog subfamily C member 10 	04141 Protein processing in endoplasmic reticulum [PATH:cel04141] 	<b>Folding, Sorting and Degradation</b> 	<b>Genetic Information Processing</b> 	
T05E11.3 hypothetical protein	K09487 heat shock protein 90kDa beta 	04141 Protein processing in endoplasmic reticulum [PATH:cel04141] 	<b>Folding, Sorting and Degradation</b> 	<b>Genetic Information Processing</b> 	
F40F9.6 hypothetical protein	K05546 alpha 1,3-glucosidase [EC:3.2.1.84] 	04141 Protein processing in endoplasmic reticulum [PATH:cel04141] 	<b>Folding, Sorting and Degradation</b> 	<b>Genetic Information Processing</b> 	
F52D1.1 hypothetical protein	K05546 alpha 1,3-glucosidase [EC:3.2.1.84] 	04141 Protein processing in endoplasmic reticulum [PATH:cel04141] 	<b>Folding, Sorting and Degradation</b> 	<b>Genetic Information Processing</b> 	
ZK1307.8 hypothetical protein	K08288 protein kinase C substrate 80K-H 	04141 Protein processing in endoplasmic reticulum [PATH:cel04141] 	<b>Folding, Sorting and Degradation</b> 	<b>Genetic Information Processing</b> 	
ZK632.6 cnx-1; CalNeXin family member (cnx-1)	K08054 calnexin 	04141 Protein processing in endoplasmic reticulum [PATH:cel04141] 	<b>Folding, Sorting and Degradation</b> 	<b>Genetic Information Processing</b> 	
H06O01.1 pdi-3; Protein Disulfide Isomerase family member (pdi-3)	K08056 protein disulfide isomerase family A, member 3 [EC:5.3.4.1] 	04141 Protein processing in endoplasmic reticulum [PATH:cel04141] 	<b>Folding, Sorting and Degradation</b> 	<b>Genetic Information Processing</b> 	
Y38A10A.5 crt-1; CalReTiculin family member (crt-1)	K08057 calreticulin 	04141 Protein processing in endoplasmic reticulum [PATH:cel04141] 	<b>Folding, Sorting and Degradation</b> 	<b>Genetic Information Processing</b> 	
ZC410.3 hypothetical protein	K01230 mannosyl-oligosaccharide alpha-1,2-mannosidase [EC:3.2.1.113] 	04141 Protein processing in endoplasmic reticulum [PATH:cel04141] 	<b>Folding, Sorting and Degradation</b> 	<b>Genetic Information Processing</b> 	
C52E4.5 hypothetical protein	K01230 mannosyl-oligosaccharide alpha-1,2-mannosidase [EC:3.2.1.113] 	04141 Protein processing in endoplasmic reticulum [PATH:cel04141] 	<b>Folding, Sorting and Degradation</b> 	<b>Genetic Information Processing</b> 	
T03G11.4 hypothetical protein	K01230 mannosyl-oligosaccharide alpha-1,2-mannosidase [EC:3.2.1.113] 	04141 Protein processing in endoplasmic reticulum [PATH:cel04141] 	<b>Folding, Sorting and Degradation</b> 	<b>Genetic Information Processing</b> 	
D2030.1 hypothetical protein	K01230 mannosyl-oligosaccharide alpha-1,2-mannosidase [EC:3.2.1.113] 	04141 Protein processing in endoplasmic reticulum [PATH:cel04141] 	<b>Folding, Sorting and Degradation</b> 	<b>Genetic Information Processing</b> 	
T04G9.3 ile-2; Intracellular LEctin family member (ile-2)	K10082 lectin, mannose-binding 2 	04141 Protein processing in endoplasmic reticulum [PATH:cel04141] 	<b>Folding, Sorting and Degradation</b> 	<b>Genetic Information Processing</b> 	
K07A1.8 ile-1; Intracellular LEctin family member (ile-1)	K10080 lectin, mannose-binding 1 	04141 Protein processing in endoplasmic reticulum [PATH:cel04141] 	<b>Folding, Sorting and Degradation</b> 	<b>Genetic Information Processing</b> 	
K02B12.3 hypothetical protein	K14003 prolactin regulatory element-binding protein 	04141 Protein processing in endoplasmic reticulum [PATH:cel04141] 	<b>Folding, Sorting and Degradation</b> 	<b>Genetic Information Processing</b> 	
ZK180.4 sar-1; SAR (Secretion Associated, Ras-related) COPII vesicle coat protein family member (sar-1)	K07953 GTP-binding protein SAR1 [EC:3.6.5.-] 	04141 Protein processing in endoplasmic reticulum [PATH:cel04141] 	<b>Folding, Sorting and Degradation</b> 	<b>Genetic Information Processing</b> 	
Y77E11A.13 npp-20; Nuclear Pore complex Protein family member (npp-20)	K14004 protein transport protein SEC13 	04141 Protein processing in endoplasmic reticulum [PATH:cel04141] 	<b>Folding, Sorting and Degradation</b> 	<b>Genetic Information Processing</b> 	
Y113G7A.3 sec-23; yeast SEC homolog family member (sec-23)	K14006 protein transport protein SEC23 	04141 Protein processing in endoplasmic reticulum [PATH:cel04141] 	<b>Folding, Sorting and Degradation</b> 	<b>Genetic Information Processing</b> 	
ZC518.2 sec-24.2; yeast SEC homolog family member (sec-24.2)	K14007 protein transport protein SEC24 	04141 Protein processing in endoplasmic reticulum [PATH:cel04141] 	<b>Folding, Sorting and Degradation</b> 	<b>Genetic Information Processing</b> 	
F12F6.6 sec-24.1; yeast SEC homolog family member (sec-24.1)	K14007 protein transport protein SEC24 	04141 Protein processing in endoplasmic reticulum [PATH:cel04141] 	<b>Folding, Sorting and Degradation</b> 	<b>Genetic Information Processing</b> 	
F48E3.3 hypothetical protein	K11718 UDP-glucose:glycoprotein glucosyltransferase [EC:2.4.1.-] 	04141 Protein processing in endoplasmic reticulum [PATH:cel04141] 	<b>Folding, Sorting and Degradation</b> 	<b>Genetic Information Processing</b> 	
C47E12.3 hypothetical protein	K10084 ER degradation enhancer, mannosidase alpha-like 1 	04141 Protein processing in endoplasmic reticulum [PATH:cel04141] 	<b>Folding, Sorting and Degradation</b> 	<b>Genetic Information Processing</b> 	
F10C2.5 hypothetical protein	K10085 ER degradation enhancer, mannosidase alpha-like 2 	04141 Protein processing in endoplasmic reticulum [PATH:cel04141] 	<b>Folding, Sorting and Degradation</b> 	<b>Genetic Information Processing</b> 	
ZC506.1 hypothetical protein	K10086 ER degradation enhancer, mannosidase alpha-like 3 	04141 Protein processing in endoplasmic reticulum [PATH:cel04141] 	<b>Folding, Sorting and Degradation</b> 	<b>Genetic Information Processing</b> 	
C07A12.4 pdi-2; Protein Disulfide Isomerase family member (pdi-2)	K09580 protein disulfide-isomerase A1 [EC:5.3.4.1] 	04141 Protein processing in endoplasmic reticulum [PATH:cel04141] 	<b>Folding, Sorting and Degradation</b> 	<b>Genetic Information Processing</b> 	
C14B1.1 pdi-1; Protein Disulfide Isomerase family member (pdi-1)	K09580 protein disulfide-isomerase A1 [EC:5.3.4.1] 	04141 Protein processing in endoplasmic reticulum [PATH:cel04141] 	<b>Folding, Sorting and Degradation</b> 	<b>Genetic Information Processing</b> 	
C14B9.2 erp72; hypothetical protein	K09582 protein disulfide-isomerase A4 [EC:5.3.4.1] 	04141 Protein processing in endoplasmic reticulum [PATH:cel04141] 	<b>Folding, Sorting and Degradation</b> 	<b>Genetic Information Processing</b> 	
B0403.4 tag-320; Temporarily Assigned Gene name family member (tag-320)	K09584 protein disulfide-isomerase A6 [EC:5.3.4.1] 	04141 Protein processing in endoplasmic reticulum [PATH:cel04141] 	<b>Folding, Sorting and Degradation</b> 	<b>Genetic Information Processing</b> 	
Y49E10.4 hypothetical protein	K09584 protein disulfide-isomerase A6 [EC:5.3.4.1] 	04141 Protein processing in endoplasmic reticulum [PATH:cel04141] 	<b>Folding, Sorting and Degradation</b> 	<b>Genetic Information Processing</b> 	
Y105E8A.2 hypothetical protein	K14008 endoplasmic reticulum lectin 1 	04141 Protein processing in endoplasmic reticulum [PATH:cel04141] 	<b>Folding, Sorting and Degradation</b> 	<b>Genetic Information Processing</b> 	
Y71F9AM.6 trap-1; TRanslocon-Associated Protein family member (trap-1)	K13249 translocon-associated protein subunit alpha 	04141 Protein processing in endoplasmic reticulum [PATH:cel04141] 	<b>Folding, Sorting and Degradation</b> 	<b>Genetic Information Processing</b> 	
T04G9.5 trap-2; TRanslocon-Associated Protein family member (trap-2)	K13250 translocon-associated protein subunit beta 	04141 Protein processing in endoplasmic reticulum [PATH:cel04141] 	<b>Folding, Sorting and Degradation</b> 	<b>Genetic Information Processing</b> 	
Y38F2AR.2 trap-3; TRanslocon-Associated Protein family member (trap-3)	K13251 translocon-associated protein subunit gamma 	04141 Protein processing in endoplasmic reticulum [PATH:cel04141] 	<b>Folding, Sorting and Degradation</b> 	<b>Genetic Information Processing</b> 	
Y56A3A.21 trap-4; TRanslocon-Associated Protein family member (trap-4)	K04571 translocon-associated protein subunit delta 	04141 Protein processing in endoplasmic reticulum [PATH:cel04141] 	<b>Folding, Sorting and Degradation</b> 	<b>Genetic Information Processing</b> 	
Y54G2A.18 hypothetical protein	K14009 B-cell receptor-associated protein 31 	04141 Protein processing in endoplasmic reticulum [PATH:cel04141] 	<b>Folding, Sorting and Degradation</b> 	<b>Genetic Information Processing</b> 	
C24F3.1 tram-1; TRAM (TRanslocating chain-Associating Membrane) protein transporter family member (tram-1)	K14010 translocating chain-associated membrane protein 1 	04141 Protein processing in endoplasmic reticulum [PATH:cel04141] 	<b>Folding, Sorting and Degradation</b> 	<b>Genetic Information Processing</b> 	
F25D7.1 cup-2; Coelomocyte UPtake defective family member (cup-2)	K11519 Derlin-1 	04141 Protein processing in endoplasmic reticulum [PATH:cel04141] 	<b>Folding, Sorting and Degradation</b> 	<b>Genetic Information Processing</b> 	
R151.6 hypothetical protein	K13989 Derlin-2/3 	04141 Protein processing in endoplasmic reticulum [PATH:cel04141] 	<b>Folding, Sorting and Degradation</b> 	<b>Genetic Information Processing</b> 	
H06H21.6 ubxn-6; UBX-containing protein in Nematode family member (ubxn-6)	K14011 UBX domain-containing protein 6 	04141 Protein processing in endoplasmic reticulum [PATH:cel04141] 	<b>Folding, Sorting and Degradation</b> 	<b>Genetic Information Processing</b> 	
Y94H6A.9 ubxn-2; UBX-containing protein in Nematode family member (ubxn-2)	K14012 UBX domain-containing protein 1 	04141 Protein processing in endoplasmic reticulum [PATH:cel04141] 	<b>Folding, Sorting and Degradation</b> 	<b>Genetic Information Processing</b> 	
C06A1.1 cdc-48.1; Cell Division Cycle related family member (cdc-48.1)	K13525 transitional endoplasmic reticulum ATPase 	04141 Protein processing in endoplasmic reticulum [PATH:cel04141] 	<b>Folding, Sorting and Degradation</b> 	<b>Genetic Information Processing</b> 	
